imagen,porcentaje_enfermo,porcentaje_sano,estado,total_pixeles_aguacate
S.17.jpg,3.16,96.84,Enfermo,22538
S.109.jpg,0.04,99.96,Sano,26308
S.117.jpg,0.09,99.91,Sano,24348
S.122.jpg,0.07,99.93,Sano,30521
S.152.jpg,0.16,99.84,Sano,23818
S.155.jpg,0.01,99.99,Sano,24206
S.183.jpg,0.1,99.9,Sano,21813
S.110.jpg,0.21,99.79,Sano,27582
S.178.jpg,0.02,99.98,Sano,21395
S.157.jpg,0.16,99.84,Sano,23067
S.118.jpg,0.06,99.94,Sano,25114
S.149.jpg,0.12,99.88,Sano,19815
S.127.jpg,0.03,99.97,Sano,23061
S.180.jpg,0.45,99.55,Sano,22664
S.129.jpg,0.88,99.12,Sano,31169
S.116.jpg,0.06,99.94,Sano,23856
S.120.jpg,0.14,99.86,Sano,24570
S.101.jpg,0.03,99.97,Sano,26141
S.146.jpg,0.24,99.76,Sano,21136
S.176.jpg,0.0,100.0,Sano,20496
S.200.jpg,0.1,99.9,Sano,22840
S.185.jpg,0.09,99.91,Sano,22969
S.191.jpg,0.33,99.67,Sano,22731
S.171.jpg,0.22,99.78,Sano,22978
S.128.jpg,0.1,99.9,Sano,22668
S.168.jpg,0.04,99.96,Sano,25069
S.142.jpg,0.16,99.84,Sano,23938
S.103.jpg,0.02,99.98,Sano,30969
S.139.jpg,0.41,99.59,Sano,23151
S.156.jpg,0.05,99.95,Sano,24610
S.153.jpg,0.88,99.12,Sano,21074
S.186.jpg,0.4,99.6,Sano,22406
S.113.jpg,0.08,99.92,Sano,29005
S.194.jpg,0.09,99.91,Sano,24699
S.105.jpg,0.66,99.34,Sano,22563
S.190.jpg,0.35,99.65,Sano,20790
S.13.jpg,2.53,97.47,Enfermo,22750
S.119.jpg,0.2,99.8,Sano,22613
S.12.jpg,9.73,90.27,Enfermo,33382
S.202.jpg,0.15,99.85,Sano,20884
S.121.jpg,0.1,99.9,Sano,24443
S.195.jpg,0.0,100.0,Sano,23995
S.112.jpg,0.59,99.41,Sano,22974
S.201.jpg,0.37,99.63,Sano,22509
S.20.jpg,7.11,92.89,Enfermo,30086
